N;Zeit in s (je n)
1;0,000098
2;0,000034
3;0,000127
4;0,000034
5;0,000036
6;0,000072
7;0,000064
8;0,000074
9;0,000072
10;0,000066
11;0,000073
12;0,000117
13;0,00008
14;0,000247
15;0,00011
16;0,000128
17;0,000196
18;0,000229
19;0,000327
20;0,001019
21;0,000795
22;0,001022
23;0,001672
24;0,002799
25;0,004307
26;0,008389
27;0,011443
28;0,017206
29;0,026265
30;0,041116
31;0,06613
32;0,105581
33;0,174369
34;0,28368
35;0,444671
36;0,710965
37;1,150205
38;1,87091
39;3,000877
40;4,83667
41;7,883157
42;12,722005
43;20,472744
44;33,313095
45;53,730259
46;87,461702
47;141,089691
48;263,828025
49;372,007693
50;604,318167
