character;bf_success;bf_failure;bm_success;bm_failure;kmp_success;kmp_failure
[control char]0;0;43;0;15;0;43
[control char]1;0;35;0;12;0;35
[control char]2;0;41;0;15;0;41
[control char]3;0;38;0;9;0;38
[control char]4;0;46;0;15;0;46
[control char]5;0;44;0;11;0;44
[control char]6;0;42;0;13;0;42
[control char]7;0;41;0;8;0;41
[control char]8;0;45;0;14;0;45
[control char]9;0;40;0;10;0;40
[control char]10;0;43;0;18;0;43
[control char]11;0;39;0;10;0;39
[control char]12;0;35;0;8;0;35
[control char]13;0;24;0;6;0;24
[control char]14;0;50;0;8;0;50
[control char]15;0;33;0;3;0;33
[control char]16;0;36;0;11;0;36
[control char]17;0;35;0;12;0;35
[control char]18;0;37;0;13;0;37
[control char]19;0;36;0;13;0;36
[control char]20;0;39;0;10;0;39
[control char]21;0;38;0;10;0;38
[control char]22;0;43;0;6;0;43
[control char]23;0;31;0;6;0;31
[control char]24;0;46;0;12;0;46
[control char]25;0;39;0;10;0;39
[control char]26;0;45;0;11;0;45
[control char]27;0;39;0;9;0;39
[control char]28;0;31;0;10;0;31
[control char]29;0;35;0;14;0;35
[control char]30;0;46;0;10;0;46
[control char]31;0;44;0;10;0;44
'   ';0;42;0;11;0;42
' ! ';0;41;0;10;0;41
' " ';0;54;0;17;0;54
' # ';0;30;0;8;0;30
' $ ';0;49;0;14;0;49
' % ';0;55;0;13;0;55
' & ';0;28;0;7;0;28
' ' ';0;41;0;11;0;41
' ( ';0;39;0;9;0;39
' ) ';0;47;0;11;0;47
' * ';0;35;0;6;0;35
' + ';0;32;0;7;0;32
' , ';0;41;0;8;0;41
' - ';0;44;0;14;0;44
' . ';0;33;0;4;0;33
' / ';0;40;0;9;0;40
' 0 ';0;41;0;13;0;41
' 1 ';0;41;0;11;0;41
' 2 ';0;31;9;1;0;31
' 3 ';0;49;0;12;0;49
' 4 ';0;34;0;8;0;34
' 5 ';0;45;0;8;0;45
' 6 ';0;39;0;8;0;39
' 7 ';0;35;0;10;0;35
' 8 ';0;37;0;17;0;37
' 9 ';0;24;0;8;0;24
' : ';0;38;0;8;0;38
" ' ";0;43;0;5;0;43
' < ';0;30;0;8;0;30
' = ';0;33;0;11;0;33
' > ';0;36;0;10;0;36
' ? ';0;39;0;11;0;39
' @ ';0;33;0;11;0;33
' A ';0;32;0;6;0;32
' B ';0;46;0;14;0;47
' C ';0;52;0;18;0;52
' D ';0;40;0;8;0;40
' E ';0;53;0;18;0;53
' F ';0;38;0;12;0;38
' G ';0;45;0;12;0;45
' H ';0;43;0;6;0;43
' I ';0;42;0;15;0;42
' J ';0;41;0;12;0;41
' K ';0;38;0;9;0;38
' L ';0;36;0;14;0;36
' M ';0;45;0;12;0;45
' N ';0;54;0;12;0;54
' O ';0;33;0;6;0;33
' P ';0;32;0;2;0;32
' Q ';0;29;0;6;0;29
' R ';0;46;0;16;0;46
' S ';0;43;0;5;0;43
' T ';0;34;0;5;0;34
' U ';0;36;0;12;0;36
' V ';0;31;0;8;0;31
' W ';0;28;0;5;0;28
' X ';0;34;0;5;0;34
' Y ';0;34;0;7;0;34
' Z ';0;41;0;11;0;41
' [ ';0;40;0;11;0;40
' \ ';0;41;0;13;0;41
' ] ';0;61;0;22;0;61
' ^ ';0;37;0;11;0;37
' _ ';0;33;0;9;0;33
' ` ';0;40;0;13;0;40
' a ';0;50;0;7;0;50
' b ';0;38;0;11;0;38
' c ';0;39;0;13;0;39
' d ';0;44;0;11;0;44
' e ';0;37;0;11;0;37
' f ';0;32;0;9;0;32
' g ';0;43;0;12;0;43
' h ';0;47;0;10;0;47
' i ';0;44;0;10;0;44
' j ';0;36;0;7;0;36
' k ';0;34;0;13;0;34
' l ';0;36;0;11;0;36
' m ';0;37;0;9;0;37
' n ';0;46;0;12;0;46
' o ';0;32;0;9;0;32
' p ';0;36;0;6;0;36
' q ';0;33;0;9;0;33
' r ';29;0;0;5;29;0
' s ';0;37;0;10;0;37
' t ';0;40;0;9;0;40
' u ';0;34;0;7;0;34
' v ';0;50;0;10;0;50
' w ';0;38;0;9;0;38
' x ';0;41;0;8;0;41
' y ';0;45;0;10;0;45
' z ';0;45;0;9;0;45
' { ';0;44;0;14;0;44
' | ';0;40;0;8;0;40
' } ';0;59;0;14;0;59
' ~ ';0;29;0;5;0;29
'  ';0;49;0;11;0;49
' Ä ';0;32;0;14;0;32
' Å ';0;39;0;8;0;39
' Ç ';0;52;0;9;0;52
' É ';0;32;0;5;0;32
' Ñ ';0;34;0;7;0;34
' Ö ';0;43;0;11;0;43
' Ü ';0;27;0;6;0;27
' á ';0;30;0;7;0;30
' à ';0;34;0;8;0;34
' â ';0;35;0;9;0;35
' ä ';0;42;0;12;0;42
' ã ';0;37;0;9;0;37
' å ';0;32;0;3;0;32
' ç ';0;38;0;8;0;38
' é ';0;23;0;4;0;23
' è ';0;38;0;12;0;38
' ê ';0;44;0;6;0;44
' ë ';0;34;0;5;0;34
' í ';0;39;0;3;0;39
' ì ';0;40;0;9;0;40
' î ';0;42;0;9;0;42
' ï ';0;37;0;6;0;37
' ñ ';0;34;0;9;0;34
