Zeitstempel;Geschlecht;Alter;Höchste abgeschlossene Ausbildung;Aufgeschlossenheit;Perfektionismus;Geselligkeit;Kooperationsbereitschaft;Verletzlichkeit;Fahren Sie regelmäßig Auto?
12.22.2017 16:41:19;weiblich;30 - 39;Bachelorstudium;4;4;2;4;3;Ja
12.22.2017 19:24:39;weiblich;30 - 39;Bachelorstudium;2;4;4;3;4;Ja
12.22.2017 19:31:09;weiblich;30 - 39;Lehre;4;4;5;3;4;Ja
12.22.2017 19:40:14;männlich;50 - 59;Lehre;5;3;5;3;3;Ja
12.22.2017 19:48:43;männlich;30 - 39;Masterstudium;5;4;1;2;2;Ja
12.22.2017 20:34:30;weiblich;20 - 29;Bachelorstudium;5;5;2;3;2;Nein
12.22.2017 20:45:19;männlich;20 - 29;Bachelorstudium;4;2;2;5;1;Nein
12.22.2017 20:59:13;weiblich;40 - 49;Weiterführende Schule ohne Matura;3;4;2;5;2;Ja
12.22.2017 21:41:41;weiblich;30 - 39;Masterstudium;5;4;5;4;4;Ja
12.22.2017 21:46:30;männlich;30 - 39;Bachelorstudium;3;4;3;2;2;Ja
12.22.2017 22:13:13;männlich;20 - 29;Bachelorstudium;3;4;4;5;4;Ja
12.22.2017 22:33:19;weiblich;10 - 19;Matura;4;3;3;4;2;Ja
12.22.2017 22:35:09;weiblich;20 - 29;Matura;3;3;3;3;2;Nein
12.22.2017 22:52:06;männlich;10 - 19;Matura;3;4;5;2;3;Ja
12.22.2017 23:12:25;weiblich;20 - 29;Lehre;2;5;2;4;4;Ja
12.22.2017 23:22:46;männlich;20 - 29;Matura;4;3;3;4;4;Nein
12.22.2017 23:33:59;weiblich;20 - 29;Lehre;2;4;4;2;4;Ja
12.23.2017 0:13:13;weiblich;20 - 29;Bachelorstudium;5;4;4;3;2;Ja
12.23.2017 8:42:06;weiblich;30 - 39;Masterstudium;4;2;4;5;1;Nein
12.23.2017 9:49:39;weiblich;20 - 29;Masterstudium;3;5;4;4;3;Ja
12.23.2017 12:06:17;weiblich;20 - 29;Lehre;4;4;5;5;3;Ja
12.23.2017 12:33:47;männlich;10 - 19;Matura;3;4;3;4;2;Ja
12.23.2017 13:14:09;weiblich;20 - 29;Lehre;4;4;5;4;3;Ja
12.23.2017 15:55:02;weiblich;30 - 39;Diplomstudium;2;4;4;3;3;Ja
12.23.2017 16:06:07;männlich;20 - 29;Matura;4;3;4;4;2;Ja
