amount1              100, 111, 116, 137
amount2              101, 112, 121, 143
bool                 96, 97
c_wf                 164, 168
c_wf_swap            164, 168, 173
clean_up             40
close                73, 74
const                7, 15, 43, 86, 162, 166
copy                 32
cout                 25, 30, 36, 65, 67, 69
delete               77
else                 28, 34, 52, 121, 126, 140, 148, 153
filename             7, 15, 32
fm                   15, 26, 32, 40, 66, 68, 96, 97, 119, 124, 138, 144, 151, 156
for                  75, 104
get_next_value       96, 97, 119, 124, 138, 144, 151, 156
getdst               40, 50, 59, 60, 166
getsrc               11, 12, 40, 55, 56, 65, 66, 67, 68, 162
i                    162, 164, 166, 168
i1                   92, 96, 123, 124, 132, 134, 138, 155
i2                   93, 97, 118, 119, 132, 142, 144, 150, 151, 156
if                   17, 23, 47, 63, 107, 116, 121, 129, 132, 148, 153
ifstream             55, 56, 86
in_left              55, 62, 73, 86, 96, 124, 138
in_right             56, 62, 74, 86, 97, 119, 144, 151, 156
k                    9, 20
left                 11, 40, 50, 55, 59, 65, 66, 164, 168
merge                20, 43, 82
merge_cycle          62, 86
mergesort            7, 43, 86, 162, 166, 171
n                    15, 17, 20, 23, 75, 77, 104, 107
new                  59, 60
num_files            107, 109
ofstream             58, 59, 60, 86
ok1                  96, 121, 124, 129, 138, 148, 156
ok2                  97, 116, 119, 129, 144, 151, 153
outputs              58, 59, 60, 62, 75, 77, 86, 118, 123, 134, 142, 150, 155
partition            15
print                26, 66, 68
print_threshold      23, 63
push_back            11, 12, 59, 60
return               50, 82, 164, 168
right                12, 40, 56, 60, 67, 68, 164, 168
run_length           43, 47, 62, 82, 86, 107, 116, 121
size                 43, 47, 62, 63, 75, 82, 86, 104
size_t               9, 15, 43, 75, 86, 89, 100, 101, 104, 162, 166
sort                 7
sorted_filename      20, 25, 26, 32
src                  10, 11, 12, 15
std                  7, 10, 20, 25, 30, 36, 43, 55, 56, 58, 59, 60, 65, 67, 69, 86, 162, 166
stream_index         89, 109, 118, 123, 134, 142, 150, 155
string               7, 10, 20, 43, 162, 166
swap                 49, 81, 171
value_type           92, 93
vector               10, 58, 86
void                 7, 86, 171
